state,season,crop,plot_area,avg_temp,total_rainfall,humidity,drought_index,soil_type,soil_texture,soil_ph,soil_organic_carbon,fertilizer_n,fertilizer_p,fertilizer_k,previous_crop,year,ndvi_mean,production,yield_t_ha
andhra pradesh,rabi,wheat,3.49,21.76,709.38,74.41,0.14,alluvial,silty,6.78,0.98,99.88,78.07,66.69,maize,2010,0.76,52.03,14.91
tamil nadu,kharif,wheat,2.22,21.77,609.71,75.95,0.2,black,sandy,7.14,0.63,130.87,76.09,78.5,rice,2010,0.65,26.4,11.87
andhra pradesh,summer,wheat,4.94,20.49,654.68,70.13,0.19,red,clayey,6.91,0.65,122.0,57.57,72.22,cotton,2015,0.76,61.88,12.53
maharashtra,kharif,wheat,3.27,22.15,502.59,80.25,0.14,red,loamy,6.74,0.8,137.98,46.16,78.13,wheat,2020,0.73,41.48,12.7
telangana,summer,wheat,2.17,23.16,747.68,73.12,0.14,laterite,clayey,7.05,0.91,110.73,73.7,72.74,rice,2019,0.74,32.34,14.91
karnataka,rabi,wheat,1.19,21.98,487.3,71.72,0.19,laterite,sandy,6.61,0.93,140.25,69.57,55.54,wheat,2011,0.81,15.67,13.17
maharashtra,kharif,wheat,2.35,22.61,595.69,73.32,0.15,black,sandy,6.09,0.91,148.44,54.61,59.38,cotton,2021,0.78,33.22,14.11
telangana,kharif,wheat,3.47,22.45,592.48,77.06,0.17,alluvial,silty,6.91,0.77,85.98,58.75,75.86,sugarcane,2017,0.73,45.69,13.16
maharashtra,rabi,wheat,4.73,21.91,776.2,82.39,0.2,black,silty,6.75,1.0,144.28,48.74,69.14,wheat,2019,0.75,70.15,14.82
karnataka,summer,wheat,3.66,21.56,568.34,73.14,0.16,alluvial,loamy,6.21,0.62,109.89,65.73,66.46,rice,2016,0.81,47.18,12.89
karnataka,kharif,wheat,4.94,22.38,525.8,67.27,0.18,alluvial,silty,6.94,0.61,105.23,53.98,48.39,maize,2024,0.81,62.86,12.74
karnataka,rabi,wheat,4.16,21.49,720.13,80.04,0.22,laterite,clayey,6.13,0.73,132.26,56.78,50.99,rice,2020,0.83,58.74,14.12
tamil nadu,rabi,wheat,2.1,22.26,541.69,76.45,0.16,laterite,loamy,6.2,0.71,115.01,48.15,74.54,sugarcane,2020,0.81,27.9,13.3
telangana,kharif,wheat,1.55,21.61,783.48,82.79,0.2,black,loamy,7.15,0.94,131.56,69.38,72.03,maize,2017,0.78,22.74,14.68
karnataka,rabi,wheat,2.12,21.84,694.53,77.05,0.19,black,loamy,6.49,0.91,88.68,61.82,77.24,maize,2015,0.8,30.15,14.23
maharashtra,rabi,wheat,3.08,21.19,670.67,77.27,0.28,laterite,loamy,6.5,0.88,94.21,42.44,73.45,wheat,2023,0.79,42.27,13.73
telangana,rabi,wheat,1.54,22.14,682.17,75.55,0.22,black,loamy,6.51,0.89,120.48,79.34,46.98,rice,2014,0.68,20.82,13.54
tamil nadu,kharif,wheat,3.07,22.52,521.46,66.51,0.16,black,silty,6.1,0.83,144.52,55.44,61.13,sugarcane,2016,0.7,40.18,13.08
andhra pradesh,rabi,wheat,3.61,21.15,511.86,69.82,0.25,laterite,clayey,6.97,0.68,145.63,69.24,61.68,cotton,2024,0.78,45.43,12.58
karnataka,rabi,wheat,1.81,21.1,518.86,75.7,0.22,black,sandy,6.54,0.84,116.74,63.94,75.48,sugarcane,2016,0.74,22.23,12.26
andhra pradesh,kharif,wheat,3.86,20.42,582.86,71.01,0.12,alluvial,silty,6.74,0.86,123.89,74.37,46.84,sugarcane,2020,0.76,53.18,13.77
maharashtra,kharif,wheat,2.39,22.74,639.27,66.52,0.15,red,clayey,6.12,0.78,113.9,59.64,58.24,cotton,2012,0.73,32.57,13.63
karnataka,kharif,wheat,1.94,20.77,721.49,74.22,0.15,black,sandy,7.14,0.65,117.57,45.06,53.36,cotton,2014,0.75,26.69,13.75
tamil nadu,rabi,wheat,4.83,22.32,682.33,78.0,0.22,laterite,silty,6.94,0.67,141.94,41.11,71.77,maize,2014,0.77,64.25,13.31
andhra pradesh,kharif,wheat,1.73,23.69,629.64,80.33,0.26,red,loamy,6.45,0.95,104.44,41.2,66.23,rice,2012,0.79,24.55,14.21
telangana,rabi,wheat,1.57,22.39,657.2,74.6,0.17,laterite,clayey,6.56,0.78,149.14,42.83,79.43,rice,2014,0.74,21.13,13.47
andhra pradesh,summer,wheat,2.39,23.0,575.96,67.44,0.25,alluvial,silty,6.02,0.88,110.51,70.42,77.34,maize,2021,0.83,32.84,13.72
telangana,kharif,wheat,4.29,22.72,584.99,76.09,0.23,red,clayey,7.08,0.63,110.88,45.07,67.34,maize,2016,0.72,51.71,12.06
maharashtra,rabi,wheat,3.3,22.92,632.52,76.9,0.23,alluvial,clayey,6.38,0.71,109.89,50.82,74.56,sugarcane,2020,0.88,46.28,14.04
tamil nadu,kharif,wheat,3.94,20.62,610.64,71.52,0.26,black,sandy,6.14,0.94,136.96,67.66,76.96,rice,2011,0.72,51.87,13.16
andhra pradesh,kharif,wheat,2.14,21.08,591.34,70.42,0.15,laterite,clayey,6.68,0.88,114.8,74.94,63.99,maize,2012,0.7,27.78,12.96
telangana,rabi,wheat,4.16,22.09,475.74,71.44,0.18,black,silty,6.95,0.95,91.36,76.97,57.11,wheat,2010,0.86,56.52,13.6
andhra pradesh,kharif,wheat,3.19,21.54,637.97,75.21,0.12,alluvial,clayey,6.09,0.71,81.36,75.52,53.35,sugarcane,2011,0.79,43.02,13.5
tamil nadu,rabi,wheat,4.97,22.91,544.75,70.84,0.09,red,loamy,6.88,0.83,88.76,59.43,73.3,cotton,2016,0.76,68.64,13.81
tamil nadu,summer,wheat,1.75,22.16,492.04,68.82,0.17,alluvial,sandy,6.32,0.78,107.76,49.5,45.37,rice,2011,0.76,22.12,12.64
telangana,rabi,wheat,1.15,22.08,628.09,81.16,0.24,black,silty,6.17,0.79,132.24,41.69,42.95,cotton,2021,0.71,14.87,12.95
andhra pradesh,kharif,wheat,1.33,19.4,574.49,74.14,0.28,alluvial,loamy,7.17,0.83,102.18,75.3,49.47,wheat,2021,0.85,17.37,13.09
karnataka,rabi,wheat,2.11,22.68,460.7,75.32,0.19,red,clayey,6.95,0.81,123.83,70.31,44.13,cotton,2010,0.82,27.03,12.79
andhra pradesh,kharif,wheat,2.91,21.04,661.93,70.78,0.22,alluvial,loamy,6.88,0.86,149.3,55.92,71.55,rice,2010,0.74,38.04,13.09
andhra pradesh,kharif,wheat,2.25,20.45,633.57,78.72,0.17,laterite,silty,6.29,0.81,135.27,70.97,69.7,rice,2022,0.73,29.58,13.16
karnataka,summer,wheat,4.16,23.2,628.99,69.83,0.24,red,clayey,7.15,0.97,107.65,72.94,74.81,rice,2017,0.77,58.73,14.12
tamil nadu,kharif,wheat,4.91,23.1,533.86,77.56,0.24,laterite,clayey,6.89,0.94,81.35,68.42,49.43,wheat,2010,0.75,64.09,13.05
maharashtra,kharif,wheat,1.08,21.11,672.45,75.81,0.19,red,loamy,7.13,0.63,98.21,44.18,76.2,maize,2011,0.72,13.79,12.79
maharashtra,rabi,wheat,4.89,22.24,668.29,72.37,0.22,red,clayey,6.85,0.95,91.77,73.43,68.75,maize,2014,0.77,68.66,14.03
andhra pradesh,summer,wheat,1.28,22.22,436.15,83.99,0.22,alluvial,sandy,6.67,0.65,137.68,43.28,57.81,maize,2014,0.71,14.9,11.65
andhra pradesh,summer,wheat,3.35,20.66,506.24,71.58,0.2,laterite,loamy,6.21,0.67,89.75,66.68,72.3,sugarcane,2014,0.77,40.28,12.03
tamil nadu,summer,wheat,2.17,20.72,727.62,65.24,0.12,laterite,clayey,6.17,0.9,133.35,78.78,60.58,sugarcane,2021,0.64,29.54,13.59
andhra pradesh,kharif,wheat,2.98,21.3,578.83,75.63,0.19,alluvial,clayey,6.26,0.97,103.61,60.58,63.94,maize,2024,0.82,42.22,14.16
maharashtra,summer,wheat,3.49,22.48,592.69,69.07,0.24,laterite,clayey,6.86,0.95,92.63,71.97,46.46,cotton,2023,0.82,49.15,14.07
andhra pradesh,summer,wheat,3.05,20.98,578.43,83.37,0.18,black,sandy,7.17,0.84,88.24,74.55,69.0,rice,2012,0.7,39.51,12.93
maharashtra,rabi,wheat,1.51,22.98,571.78,66.06,0.21,alluvial,silty,6.17,0.76,147.53,66.44,61.74,rice,2016,0.73,19.72,13.09
karnataka,rabi,wheat,2.47,21.9,566.07,78.99,0.22,alluvial,sandy,6.76,0.84,104.99,46.5,51.44,rice,2013,0.72,31.38,12.72
andhra pradesh,rabi,wheat,4.52,21.2,645.22,81.83,0.2,red,clayey,6.57,0.74,124.94,46.5,42.1,rice,2011,0.74,58.44,12.92
karnataka,kharif,wheat,1.43,22.54,544.12,82.04,0.3,laterite,clayey,6.73,0.64,103.43,76.53,49.41,maize,2019,0.74,16.97,11.84
tamil nadu,rabi,wheat,1.86,21.54,733.34,83.71,0.23,black,clayey,6.56,0.99,112.46,44.36,54.07,sugarcane,2016,0.77,27.25,14.68
tamil nadu,summer,wheat,4.71,23.49,577.3,74.93,0.17,red,sandy,6.42,0.97,143.04,66.79,46.48,sugarcane,2020,0.76,66.19,14.04
maharashtra,summer,wheat,1.63,23.22,625.37,73.71,0.23,black,silty,6.55,0.6,121.55,60.08,45.2,maize,2020,0.72,21.49,13.18
karnataka,summer,wheat,2.54,19.25,616.62,68.85,0.23,red,sandy,6.24,0.69,129.22,49.71,64.61,wheat,2013,0.69,30.97,12.2
andhra pradesh,kharif,wheat,4.95,23.38,630.87,79.31,0.18,black,silty,6.89,0.63,94.5,64.03,57.91,sugarcane,2013,0.82,66.57,13.45
maharashtra,rabi,wheat,2.38,20.69,761.03,74.66,0.14,red,sandy,6.4,0.62,99.52,57.63,72.38,maize,2010,0.71,32.27,13.56
telangana,kharif,wheat,4.68,22.19,650.69,70.59,0.28,laterite,loamy,7.12,0.86,137.22,46.49,53.87,wheat,2012,0.69,59.39,12.7
telangana,kharif,wheat,4.76,20.72,634.91,67.81,0.21,alluvial,clayey,6.92,0.65,106.08,65.93,63.96,wheat,2011,0.76,59.66,12.55
telangana,rabi,wheat,1.3,21.4,813.22,80.58,0.23,laterite,silty,6.86,0.78,99.23,65.67,59.95,wheat,2022,0.78,18.57,14.26
tamil nadu,kharif,wheat,4.22,19.49,697.03,66.71,0.13,black,silty,6.51,0.81,92.15,53.82,46.73,cotton,2012,0.74,59.35,14.05
telangana,kharif,wheat,1.14,23.16,522.65,72.23,0.2,red,silty,7.02,0.65,87.43,40.3,50.25,cotton,2019,0.76,14.43,12.6
maharashtra,summer,wheat,3.34,21.31,614.91,72.27,0.25,black,loamy,6.48,0.92,83.97,57.61,71.91,rice,2011,0.76,45.8,13.7
andhra pradesh,kharif,wheat,2.03,21.82,529.07,67.68,0.16,black,loamy,7.05,0.94,83.39,53.33,56.99,sugarcane,2013,0.79,27.78,13.69
andhra pradesh,kharif,wheat,2.6,21.84,599.67,83.25,0.21,red,loamy,6.84,0.97,149.47,62.2,53.66,sugarcane,2020,0.83,36.47,14.05
telangana,kharif,wheat,2.7,20.74,734.28,78.05,0.19,black,clayey,6.6,0.82,86.32,56.2,48.17,maize,2024,0.74,37.36,13.83
karnataka,summer,wheat,2.73,23.5,636.96,73.53,0.17,laterite,clayey,6.28,0.61,122.33,76.32,40.64,sugarcane,2013,0.72,35.37,12.95
telangana,summer,wheat,4.68,21.13,709.32,71.81,0.22,laterite,silty,6.03,0.71,97.35,45.39,41.38,rice,2013,0.82,63.65,13.59
tamil nadu,summer,wheat,2.54,22.67,692.44,72.76,0.23,laterite,sandy,6.18,0.76,80.01,70.65,75.96,sugarcane,2024,0.83,35.4,13.95
maharashtra,summer,wheat,4.25,20.36,655.36,77.85,0.21,red,sandy,6.34,0.84,146.99,53.6,68.55,sugarcane,2014,0.83,58.75,13.81
maharashtra,summer,wheat,3.19,22.01,512.72,70.23,0.16,red,clayey,6.35,0.81,148.98,50.47,71.09,rice,2010,0.7,41.12,12.9
tamil nadu,summer,wheat,2.38,22.33,642.43,72.14,0.21,alluvial,sandy,7.11,0.73,110.24,56.36,40.17,cotton,2012,0.71,32.06,13.44
maharashtra,summer,wheat,3.53,21.79,656.91,74.03,0.2,alluvial,silty,6.31,0.72,85.47,49.08,72.26,maize,2013,0.81,47.49,13.44
tamil nadu,summer,wheat,2.7,20.54,676.45,75.12,0.19,black,silty,6.33,0.94,97.46,46.79,55.54,cotton,2020,0.68,37.23,13.8
andhra pradesh,rabi,wheat,1.58,22.28,625.14,70.77,0.3,black,silty,6.1,0.96,90.11,65.26,46.93,rice,2016,0.83,22.05,13.94
telangana,kharif,wheat,1.84,22.26,670.81,68.9,0.27,alluvial,silty,6.93,0.66,147.23,49.28,59.53,maize,2018,0.77,24.22,13.2
tamil nadu,summer,wheat,4.49,23.46,504.51,80.92,0.29,laterite,loamy,6.49,0.64,99.19,77.77,73.48,maize,2010,0.73,53.48,11.92
telangana,summer,wheat,3.08,23.81,603.35,69.07,0.26,red,loamy,6.66,0.61,116.38,56.92,68.02,sugarcane,2012,0.73,39.02,12.65
maharashtra,rabi,wheat,3.3,20.74,411.73,74.62,0.29,laterite,sandy,6.15,0.95,80.07,56.02,45.9,rice,2013,0.77,39.93,12.11
telangana,summer,wheat,4.56,22.37,695.01,66.52,0.21,alluvial,silty,6.24,0.89,138.7,50.14,72.3,sugarcane,2024,0.75,64.42,14.14
karnataka,kharif,wheat,3.76,22.0,530.77,75.55,0.23,laterite,silty,6.57,0.88,117.38,49.75,69.34,rice,2010,0.72,48.71,12.95
tamil nadu,summer,wheat,3.62,22.04,642.44,82.35,0.26,black,clayey,7.06,0.9,82.4,54.59,56.99,maize,2013,0.8,49.94,13.78
karnataka,kharif,wheat,1.27,21.54,604.48,65.68,0.13,laterite,clayey,6.1,0.86,117.19,71.61,48.95,cotton,2011,0.77,17.73,13.96
karnataka,summer,wheat,3.96,23.48,586.26,82.5,0.23,black,silty,6.19,0.8,121.71,75.93,66.1,wheat,2018,0.74,53.42,13.5
maharashtra,summer,wheat,3.63,21.87,543.43,82.91,0.19,laterite,sandy,7.19,0.6,122.48,49.69,73.22,cotton,2020,0.8,46.85,12.92
tamil nadu,summer,wheat,1.29,21.34,526.33,70.64,0.08,alluvial,clayey,6.36,0.71,146.35,66.73,74.56,wheat,2019,0.75,16.68,12.91
tamil nadu,summer,wheat,3.58,21.94,554.8,79.81,0.15,alluvial,silty,6.0,0.84,144.95,60.08,60.89,cotton,2022,0.65,45.09,12.59
maharashtra,summer,wheat,2.04,21.75,631.32,79.37,0.21,red,loamy,6.5,0.65,113.83,76.24,57.48,cotton,2018,0.77,26.52,12.99
maharashtra,rabi,wheat,1.56,20.4,580.85,75.25,0.22,black,silty,6.81,0.91,128.82,75.49,61.21,cotton,2024,0.72,20.68,13.23
andhra pradesh,kharif,wheat,4.75,21.89,717.87,79.46,0.21,alluvial,clayey,6.85,0.72,101.69,78.91,73.11,sugarcane,2023,0.71,62.12,13.08
maharashtra,kharif,wheat,3.71,23.63,629.76,67.67,0.26,black,silty,6.29,1.0,109.94,78.08,58.68,rice,2015,0.75,51.76,13.97
andhra pradesh,rabi,wheat,3.79,20.14,498.3,74.32,0.17,alluvial,sandy,6.42,0.73,142.67,53.0,78.55,rice,2021,0.71,45.09,11.89
tamil nadu,kharif,wheat,3.46,22.69,544.59,75.53,0.25,laterite,clayey,6.24,0.69,84.9,77.01,67.8,wheat,2018,0.78,43.8,12.67
maharashtra,kharif,wheat,3.25,20.82,507.27,79.35,0.17,laterite,silty,7.13,0.95,125.36,56.26,49.22,cotton,2017,0.83,45.14,13.89
telangana,kharif,wheat,2.09,23.93,543.9,70.54,0.15,red,loamy,7.16,0.8,81.55,61.38,59.66,sugarcane,2013,0.68,27.49,13.15
tamil nadu,rabi,wheat,3.18,22.92,482.02,82.47,0.12,black,silty,6.33,0.73,122.76,64.23,60.24,sugarcane,2014,0.82,42.72,13.45
tamil nadu,summer,wheat,4.61,21.99,716.69,74.09,0.19,alluvial,sandy,6.86,0.9,129.52,53.82,49.27,sugarcane,2010,0.76,66.57,14.44
maharashtra,summer,wheat,3.11,19.98,595.22,82.11,0.19,alluvial,silty,6.81,0.97,128.49,40.13,68.4,sugarcane,2017,0.77,42.6,13.68
telangana,summer,wheat,2.5,20.77,561.52,78.06,0.18,alluvial,silty,6.74,0.97,134.61,59.86,47.61,wheat,2022,0.83,35.2,14.06
andhra pradesh,summer,wheat,4.01,22.19,444.04,82.42,0.16,red,clayey,6.57,0.93,101.75,77.44,73.35,maize,2017,0.81,51.67,12.9
maharashtra,kharif,wheat,1.18,22.09,547.75,81.8,0.26,red,loamy,6.73,0.84,133.71,44.42,57.74,sugarcane,2022,0.68,14.39,12.17
tamil nadu,rabi,wheat,4.97,23.11,624.44,67.11,0.17,red,sandy,6.15,0.98,104.76,78.15,46.19,maize,2017,0.81,72.15,14.52
telangana,summer,wheat,1.03,22.21,599.34,82.17,0.13,alluvial,silty,7.2,0.77,101.05,74.22,57.22,wheat,2021,0.78,14.15,13.71
karnataka,summer,wheat,3.4,21.63,540.64,84.84,0.18,alluvial,clayey,7.16,0.61,94.63,41.38,73.35,wheat,2013,0.73,40.46,11.9
karnataka,summer,wheat,2.91,21.58,711.89,79.18,0.17,red,clayey,6.84,0.64,115.01,56.11,76.19,sugarcane,2010,0.8,39.53,13.6
andhra pradesh,summer,wheat,2.3,20.04,607.61,68.84,0.26,black,clayey,6.42,0.78,144.47,40.02,65.11,wheat,2024,0.8,30.11,13.09
maharashtra,rabi,wheat,1.83,22.4,561.15,77.17,0.25,alluvial,silty,6.36,0.82,84.88,50.9,70.81,wheat,2015,0.71,23.27,12.74
maharashtra,rabi,wheat,2.99,21.51,471.25,73.81,0.11,black,clayey,6.13,0.81,97.82,50.0,77.48,rice,2014,0.75,39.04,13.07
maharashtra,kharif,wheat,2.93,20.73,404.76,68.35,0.14,black,silty,6.45,0.79,105.26,68.14,59.54,wheat,2018,0.8,36.35,12.42
tamil nadu,rabi,wheat,4.02,21.31,629.68,73.86,0.21,alluvial,clayey,6.37,0.72,121.88,43.99,69.82,maize,2021,0.74,52.16,12.97
telangana,rabi,wheat,2.16,22.67,571.82,78.73,0.27,black,silty,6.23,0.92,148.06,43.67,68.87,maize,2019,0.73,27.78,12.88
andhra pradesh,summer,wheat,1.42,21.44,705.62,72.43,0.24,alluvial,clayey,6.79,0.89,82.47,66.61,68.14,rice,2010,0.71,18.79,13.21
andhra pradesh,kharif,wheat,2.04,22.21,753.13,81.29,0.16,red,silty,6.97,0.95,109.88,74.63,46.38,rice,2022,0.79,29.95,14.72
maharashtra,kharif,wheat,1.44,23.04,553.54,77.59,0.19,alluvial,sandy,6.34,0.84,111.11,51.53,77.0,sugarcane,2011,0.74,19.46,13.52
maharashtra,rabi,wheat,1.06,22.59,567.22,65.7,0.17,laterite,silty,6.22,0.97,103.31,53.03,66.6,cotton,2020,0.77,14.79,13.98
maharashtra,kharif,wheat,3.85,21.32,723.91,79.5,0.16,black,silty,6.42,0.63,109.07,74.3,66.42,sugarcane,2018,0.76,50.94,13.24
tamil nadu,kharif,wheat,3.47,22.88,636.46,76.01,0.18,laterite,silty,7.11,0.67,136.92,40.06,41.04,wheat,2015,0.84,48.0,13.82
maharashtra,summer,wheat,2.28,21.65,550.56,75.06,0.15,red,sandy,6.25,0.69,88.36,59.18,50.99,sugarcane,2023,0.76,29.08,12.77
tamil nadu,summer,wheat,4.93,20.67,653.62,74.36,0.22,laterite,clayey,7.16,0.96,126.34,60.57,41.42,maize,2017,0.8,72.23,14.65
karnataka,summer,wheat,4.41,21.49,638.2,74.9,0.2,black,clayey,6.82,0.82,128.22,58.9,49.68,wheat,2022,0.81,63.47,14.38
tamil nadu,rabi,wheat,3.11,22.53,645.79,73.16,0.21,alluvial,clayey,6.89,0.82,80.38,56.06,70.29,maize,2024,0.72,40.82,13.13
andhra pradesh,kharif,wheat,1.72,23.08,659.44,74.08,0.21,alluvial,sandy,6.75,0.62,94.39,47.27,49.92,sugarcane,2019,0.76,23.0,13.4
andhra pradesh,summer,wheat,3.27,23.1,521.26,71.24,0.27,alluvial,loamy,7.1,0.63,126.62,59.92,67.95,sugarcane,2024,0.8,40.81,12.49
andhra pradesh,kharif,wheat,1.38,23.46,396.5,68.57,0.16,red,clayey,6.8,0.99,82.99,67.25,54.33,cotton,2023,0.8,18.56,13.41
telangana,rabi,wheat,4.77,22.52,644.83,84.46,0.11,black,loamy,6.77,0.97,101.82,48.03,50.63,wheat,2019,0.69,67.8,14.21
telangana,rabi,wheat,2.03,20.89,486.46,76.0,0.23,black,sandy,7.1,0.87,140.79,72.25,47.31,cotton,2016,0.73,24.2,11.94
maharashtra,kharif,wheat,3.69,21.78,484.77,67.52,0.2,red,sandy,6.76,0.96,102.58,78.92,71.0,maize,2017,0.73,48.15,13.04
maharashtra,rabi,wheat,3.89,19.92,664.99,72.16,0.21,red,clayey,7.0,0.98,112.78,72.97,57.87,maize,2022,0.76,55.52,14.28
maharashtra,rabi,wheat,2.9,21.84,576.49,65.8,0.2,black,sandy,6.5,0.92,137.86,66.43,40.49,wheat,2015,0.71,38.44,13.25
maharashtra,rabi,wheat,1.58,22.41,493.86,83.61,0.24,black,sandy,6.54,0.64,141.77,73.41,45.41,sugarcane,2010,0.74,19.34,12.26
maharashtra,kharif,wheat,3.13,21.07,659.5,65.45,0.29,black,sandy,7.01,0.61,105.16,62.61,51.67,maize,2010,0.71,37.73,12.05
tamil nadu,kharif,wheat,3.23,21.36,761.15,76.34,0.11,alluvial,loamy,6.43,0.76,140.54,63.49,57.71,maize,2010,0.8,46.56,14.42
maharashtra,rabi,wheat,1.96,21.9,508.44,76.19,0.28,alluvial,silty,6.51,0.76,114.62,47.82,69.47,rice,2013,0.76,23.65,12.04
karnataka,summer,wheat,2.73,21.1,646.69,84.6,0.13,laterite,clayey,6.81,0.73,132.35,52.93,71.96,wheat,2024,0.76,37.75,13.83
telangana,kharif,wheat,4.15,20.62,513.53,68.17,0.28,laterite,silty,6.38,0.87,141.62,66.45,74.81,cotton,2012,0.77,51.11,12.32
andhra pradesh,summer,wheat,2.58,22.83,622.0,79.08,0.21,laterite,loamy,7.07,0.77,129.73,71.07,55.48,sugarcane,2011,0.76,33.77,13.09
karnataka,summer,wheat,2.72,21.48,657.31,69.58,0.23,black,clayey,6.46,0.79,92.25,79.19,79.54,wheat,2023,0.82,36.85,13.56
andhra pradesh,kharif,wheat,2.41,21.23,548.72,83.86,0.25,black,silty,7.03,0.64,140.53,75.52,65.27,cotton,2022,0.76,29.42,12.23
karnataka,rabi,wheat,4.95,22.49,548.64,66.32,0.22,alluvial,loamy,6.48,0.95,117.02,68.02,78.08,sugarcane,2022,0.7,64.74,13.08
maharashtra,summer,wheat,3.6,21.88,551.29,80.6,0.09,black,sandy,6.44,0.69,127.16,52.58,54.31,maize,2016,0.78,47.66,13.25
telangana,kharif,wheat,3.85,21.56,679.29,66.41,0.23,black,silty,6.7,0.83,133.41,59.09,56.16,rice,2012,0.75,52.19,13.55
andhra pradesh,rabi,wheat,3.05,22.51,562.96,70.48,0.19,red,clayey,6.43,0.61,118.19,77.23,74.87,sugarcane,2016,0.68,37.02,12.14
telangana,kharif,wheat,2.69,22.22,508.24,84.24,0.25,laterite,clayey,6.29,0.77,125.8,55.29,75.47,sugarcane,2021,0.81,34.47,12.79
maharashtra,kharif,wheat,2.41,22.96,576.17,73.67,0.21,laterite,loamy,6.33,0.91,100.66,65.92,71.48,wheat,2023,0.85,33.93,14.08
telangana,rabi,wheat,1.36,21.81,594.64,70.76,0.24,red,clayey,6.26,0.6,142.86,43.52,48.58,cotton,2013,0.7,16.23,11.93
maharashtra,summer,wheat,4.36,21.53,570.41,69.42,0.21,alluvial,sandy,6.51,0.98,102.63,49.86,75.33,rice,2012,0.77,59.44,13.63
karnataka,kharif,wheat,3.37,22.29,602.25,83.18,0.2,red,clayey,6.91,0.69,107.8,53.86,68.48,rice,2014,0.77,45.37,13.48
tamil nadu,kharif,wheat,3.64,23.4,701.45,72.53,0.17,red,clayey,7.19,0.83,88.9,62.61,62.06,maize,2017,0.8,53.78,14.77
andhra pradesh,rabi,wheat,2.19,22.13,635.19,78.19,0.25,laterite,loamy,6.87,0.88,89.42,43.08,48.55,maize,2012,0.71,29.07,13.25
karnataka,rabi,wheat,1.9,21.72,634.57,65.91,0.37,alluvial,sandy,6.28,0.69,141.07,64.38,75.35,maize,2024,0.76,24.18,12.73
telangana,summer,wheat,1.81,22.73,591.81,69.42,0.2,red,silty,6.12,0.98,93.72,49.2,72.25,maize,2016,0.69,23.69,13.12
tamil nadu,summer,wheat,3.04,21.88,571.64,80.18,0.15,laterite,clayey,6.92,0.77,120.71,41.66,57.1,wheat,2015,0.72,39.01,12.84
tamil nadu,kharif,wheat,2.97,22.28,591.51,69.46,0.22,laterite,silty,6.5,0.77,120.04,42.47,40.58,maize,2022,0.72,37.68,12.69
telangana,summer,wheat,2.16,23.0,625.05,81.42,0.19,black,clayey,6.8,0.91,107.71,60.06,41.02,cotton,2010,0.67,28.68,13.25
andhra pradesh,summer,wheat,1.64,22.09,629.27,65.87,0.18,alluvial,clayey,6.61,0.9,130.75,79.76,63.7,sugarcane,2021,0.7,22.4,13.67
tamil nadu,summer,wheat,4.55,22.34,715.67,70.69,0.15,black,sandy,6.93,0.94,101.95,49.95,60.22,wheat,2018,0.66,62.71,13.78
andhra pradesh,kharif,wheat,2.3,21.03,772.33,72.47,0.19,red,loamy,6.03,0.79,109.6,64.48,52.0,maize,2014,0.74,31.86,13.86
tamil nadu,rabi,wheat,3.25,24.6,567.81,66.04,0.25,black,loamy,6.5,0.91,111.98,68.78,78.68,cotton,2013,0.75,44.21,13.59
andhra pradesh,kharif,wheat,1.62,21.65,588.45,76.9,0.24,alluvial,loamy,6.45,0.66,124.53,53.6,45.87,wheat,2015,0.8,21.17,13.09
telangana,summer,wheat,2.58,22.07,474.02,81.09,0.22,red,sandy,6.03,0.87,139.3,71.04,59.93,maize,2012,0.74,31.98,12.4
andhra pradesh,kharif,wheat,2.97,22.83,591.09,80.97,0.25,red,silty,6.06,0.64,148.08,41.6,68.88,sugarcane,2023,0.76,38.03,12.8
tamil nadu,summer,wheat,1.16,23.14,656.27,74.54,0.25,black,silty,6.02,0.67,99.17,65.8,64.75,cotton,2011,0.73,15.15,13.02
maharashtra,summer,wheat,2.38,20.68,660.46,65.76,0.08,laterite,loamy,6.82,0.68,97.43,56.37,51.05,rice,2015,0.71,31.92,13.41
maharashtra,summer,wheat,2.68,21.7,714.34,77.56,0.23,alluvial,silty,6.33,0.89,108.72,49.39,58.19,rice,2023,0.84,39.22,14.62
maharashtra,kharif,wheat,4.76,21.77,453.04,69.98,0.27,red,silty,6.77,0.96,136.67,69.43,78.78,sugarcane,2020,0.79,60.15,12.64
tamil nadu,kharif,wheat,1.28,22.16,594.25,69.11,0.17,red,sandy,6.7,0.87,92.69,43.72,65.37,sugarcane,2020,0.76,17.65,13.82
telangana,summer,wheat,2.65,21.57,580.08,77.31,0.12,black,clayey,6.21,0.61,134.53,69.72,54.21,cotton,2013,0.77,33.62,12.7
maharashtra,rabi,wheat,4.19,20.82,694.55,79.51,0.3,red,silty,6.27,0.75,96.5,71.02,62.87,wheat,2015,0.79,56.23,13.43
karnataka,summer,wheat,4.26,21.69,677.43,77.06,0.21,red,clayey,6.36,0.75,146.29,56.32,52.62,cotton,2011,0.86,60.48,14.19
maharashtra,rabi,wheat,1.13,22.32,602.27,73.69,0.24,laterite,clayey,7.03,0.99,148.79,76.27,78.56,maize,2023,0.7,15.32,13.56
telangana,summer,wheat,4.49,22.84,527.16,66.49,0.2,red,silty,6.39,0.82,134.12,44.68,61.03,wheat,2014,0.77,60.47,13.46
